描述,动作,对象,属性和参数,说明,
,,,,,
端口设置,set,intf,<intf name> byname <string>,端口别名,
,,,<intf name> description <string> [rx <string>] [tx <string>],端口描述,
,,,<intf name> ip <ip addr> <mask>,管理口的ip地址配置，以及重定向接口工作在L2模式时，需配置ip地址，对接用,
,,,<intf name> olp <intf name>,设置接口与光保护板接口的对应关系，链路接口需配置,
,,,"<intf name> [, <intf name>] [~ <intf name>] direction {C2I|I2C}",设置端口连接方向,
,,,"<intf name> [, <intf name>] [~ <intf name>] speed {100G|40G|25G|10G|1G}",设置端口速率,
,,,"<intf name> [, <intf name>] [~ <intf name>] duplex {full|half}",设置端口双工模式,
,,,"<intf name> [, <intf name>] [~ <intf name>] flow-ctrl {enable|disable}",设置端口流控开关,
,,,"<intf name> [, <intf name>] [~ <intf name>] storm-ctrl {broadcast|unicast|multicast} <speed value>",端口广播抑制速率设置,
,,,"<intf name> [, <intf name>] [~ <intf name>] mtu <1500~9000>",端口mtu大小设置,
,,,"<intf name> [, <intf name>] [~ <intf name>] speed auto-negotiation {enable|disable}",端口速率自协商开关,
,,,"<intf name> [, <intf name>] [~ <intf name>] mode auto-negotiation {enable|disable}",端口模式自协商开关,
,,,"<intf name> [, <intf name>] [~ <intf name>] ipg <8~40>",frm gap取值范围8~40字节，缺省12字节,
,,,"<intf name> [, <intf name>] [~ <intf name>] loopback {local|remote}",设置端口为本地自环(内环)，远程自环(外环)和自环取消模式,
,,,"<intf name> [, <intf name>] [~ <intf name>] fec mode {auto|none|rs-fec}",仅当接口配为100G模式下，才能配置接口fec 模式，缺省为auto 自协商fec模式,
,,,"<intf name> [, <intf name>] [~ <intf name>] shutdown {enable|disable}",取消 enable|disable intf <intf name>,
,,,"<intf name> [, <intf name>] [~ <intf name>] fiber-mode {tx-only|rx-only|both}",rx only 模式时，把光模块的发送关闭,
,,,"<intf name> [, <intf name>] [~ <intf name>] optical-module power-typical <value>",设置光模块接收光功率典型值,
,,,"<intf name> [, <intf name>] [~ <intf name>] lldp [tx {enable|disable}] [rx {enable|disable}]",设置接口的LLDP 收发使能，优先级比全局高,
,,,"<intf name> [, <intf name>] [~ <intf name>] mac <mac addr>",配置管理口及三层重定向接口的mac地址,
,,,"<intf name> [, <intf name>] [~ <intf name>] mac learning {om|off}",接口配置mac 地址学习功能打开或关闭，优先级比系统配置高,
,,,<intf name> mac-table <mac-addr> [vlan <vid>] [static|dynamic],"在接口上增删mac表,缺省是动态，vlan=0",
,,,<intf name> arp-table <ip-addr> <mac-addr> [vlan <vid>] [static|dynamic],"在接口上增删mac表,缺省是动态，vlan=0",
,,,<intf name> ip-route <ip-addr> <mask> <nexthop-ip> [vlan <vid>],在接口上增删路由表项,
,,,<intf name>,查看端口基本信息,
